# Experiment 3: Population Dynamics and Price Equation
# K=20 G=50 N_RUNS=3
# n_dev_steps=20 lr_dev=0.005 sigma_mut=0.001
# N_INIT_STEPS=100 LR_INIT=0.008
# CHUNK_SIZE=30 CHUNK_OVERLAP=5
# PREFIX_LENGTHS=[3, 5, 8]
# tau=0.0027629846721001438
# block_size=32 n_embd=32 n_layer=2 n_head=4
# Price equation OLS: slope=1.9694 intercept=-3.0e-5 R^2=0.2166

run,gen,R_bar_before,w_bar,delta_sel,price_predicted,delta_sel_sd,delta_sel_lo95,delta_sel_hi95,delta_dev,delta_mut,mean_k,mean_s,risk_selected,risk_selected_expected,risk_after_dev,risk_after_mut
2,26,2.698741,0.06730154,0.00498379,-0.00033688,0.004102,-0.00837681,0.00770304,-0.00547402,-0.00019106,3.2,7.55,2.703725,2.698404,2.69825,2.698059
2,27,2.698059,0.06736278,0.00170969,-0.00079007,0.0062424,-0.01302517,0.01144503,-2.437e-5,-3.704e-5,2.95,7.35,2.699769,2.697269,2.699745,2.699708
2,28,2.699708,0.06724256,-0.00178081,-0.00051657,0.00506751,-0.01044889,0.00941574,0.00293433,-6.84e-6,3.2,7.4,2.697927,2.699191,2.700861,2.700854
2,29,2.700854,0.06716062,0.00113605,-0.00037227,0.00431151,-0.00882283,0.00807828,-0.0006325,4.663e-5,2.95,7.2,2.70199,2.700482,2.701358,2.701405
2,30,2.701405,0.06713206,-0.00590136,-0.00061979,0.00553798,-0.01147424,0.01023465,-0.00174918,3.41e-5,2.95,7.0,2.695503,2.700785,2.693754,2.693788
2,31,2.693788,0.0676335,-0.00554317,-0.00027257,0.00369079,-0.00750651,0.00696138,-0.00101217,4.217e-5,3.05,7.4,2.688245,2.693516,2.687233,2.687275
2,32,2.687275,0.06807692,-0.00150905,-0.00031472,0.00394757,-0.00805196,0.00742252,0.00672268,0.00026055,3.2,7.35,2.685766,2.68696,2.692489,2.692749
2,33,2.692749,0.06772056,0.00153902,-0.00076498,0.00615523,-0.01282924,0.01129928,0.01424412,0.00034834,3.25,7.55,2.694288,2.691984,2.708532,2.708881
2,34,2.708881,0.06663726,0.00285352,-0.00077697,0.00621608,-0.01296049,0.01140655,-0.01417097,0.00011923,3.1,7.6,2.711734,2.708104,2.697563,2.697682
2,35,2.697682,0.06737999,0.00410187,-0.00054857,0.00521219,-0.01076447,0.00966733,-0.00614114,-2.859e-5,3.15,7.45,2.701784,2.697134,2.695643,2.695615
2,36,2.695615,0.06751985,-0.00180211,-0.00056132,0.00529127,-0.01093222,0.00980958,0.00459071,9.969e-5,3.25,7.7,2.693812,2.695053,2.698403,2.698503
2,37,2.698503,0.06732124,0.01512242,-0.00044623,0.00471816,-0.00969382,0.00880136,-0.00629339,-0.00012473,3.1,7.45,2.713625,2.698057,2.707332,2.707207
2,38,2.707207,0.06675583,0.00256983,-0.00098217,0.00695684,-0.01461758,0.01265323,-0.01138407,-1.843e-5,3.0,7.25,2.709777,2.706225,2.698393,2.698374
2,39,2.698374,0.06733237,-0.00012135,-0.00052013,0.00509558,-0.01050746,0.0094672,-0.01124777,0.00019589,3.1,7.45,2.698253,2.697854,2.687005,2.687201
2,40,2.687201,0.06808032,-0.00517809,-0.00026798,0.00365866,-0.00743896,0.00690299,0.01883655,-1.882e-5,3.0,7.3,2.682023,2.686933,2.70086,2.700841
2,41,2.700841,0.0671737,-0.00628981,-0.00073346,0.00603879,-0.01256949,0.01110257,0.01047044,7.115e-5,3.2,7.55,2.694551,2.700107,2.705021,2.705093
2,42,2.705093,0.06689008,-0.00873895,-0.0007724,0.00617072,-0.01286701,0.0113222,-0.00598524,3.89e-5,3.1,7.5,2.696354,2.70432,2.690368,2.690407
2,43,2.690407,0.06786909,-0.00089488,-0.00046407,0.0047933,-0.00985895,0.0089308,-0.00239456,-8.058e-5,3.05,7.35,2.689512,2.689943,2.687118,2.687037
2,44,2.687037,0.06811205,-0.0119115,-0.00086493,0.00649275,-0.01359072,0.01186086,0.00695625,3.243e-5,2.95,7.2,2.675126,2.686172,2.682082,2.682114
2,45,2.682114,0.06843255,-0.00588778,-0.000415,0.00454306,-0.0093194,0.00848941,0.01912311,-4.85e-6,3.15,7.55,2.676227,2.681699,2.69535,2.695345
2,46,2.695345,0.06754287,0.00233228,-0.00070329,0.00591566,-0.01229797,0.0108914,-0.01112002,0.00022008,3.0,7.35,2.697677,2.694642,2.686557,2.686777
2,47,2.686777,0.06812193,0.00644278,-0.00064008,0.0056266,-0.01166822,0.01038805,-0.00239804,-9.209e-5,3.0,7.3,2.69322,2.686137,2.690822,2.69073
2,48,2.69073,0.06784777,0.00521576,-0.00048068,0.00487431,-0.01003432,0.00907296,-0.00437739,1.195e-5,3.05,7.4,2.695946,2.690249,2.691568,2.69158
2,49,2.69158,0.06781357,-0.00107871,-0.00116083,0.00748329,-0.01582808,0.01350642,-0.00887796,-0.00020385,3.1,7.6,2.690502,2.690419,2.681624,2.68142
2,50,2.68142,0.06848936,-0.00705381,-0.00067943,0.00574645,-0.01194247,0.01058361,0.02285612,-0.00011631,3.0,7.3,2.674366,2.68074,2.697222,2.697106
3,1,2.920531,0.05423297,-0.03006845,-0.0118392,0.02342416,-0.05775056,0.03407216,-0.10668939,-5.991e-5,2.55,6.4,2.890463,2.908692,2.783773,2.783713
3,2,2.783713,0.06182966,0.00500137,-0.0006826,0.00584157,-0.01213208,0.01076688,-0.02469665,0.00016236,2.65,6.5,2.788715,2.783031,2.764018,2.76418
3,3,2.76418,0.0630405,-0.01315961,-0.00040469,0.00449479,-0.00921448,0.00840511,0.0058199,0.00011374,2.65,6.6,2.751021,2.763776,2.756841,2.756954
3,4,2.756954,0.0635068,-0.00595174,-0.0006877,0.00580495,-0.0120654,0.01069,-0.00757975,-9.122e-5,2.8,7.05,2.751003,2.756267,2.743423,2.743332
3,5,2.743332,0.06436814,-0.00108331,-0.00039031,0.00441691,-0.00904745,0.00826683,-0.00944136,-4.784e-5,2.85,6.9,2.742248,2.742941,2.732807,2.732759
3,6,2.732759,0.06505137,-0.00395457,-0.00036171,0.00423932,-0.00867077,0.00794735,-0.00347345,9.946e-5,2.65,6.8,2.728805,2.732398,2.725331,2.725431
3,7,2.725431,0.06552846,-0.00172505,-0.00031927,0.00398658,-0.00813297,0.00749443,0.00489541,2.58e-6,2.85,6.95,2.723706,2.725111,2.728601,2.728604
3,8,2.728604,0.06532474,-0.00574211,-0.00043482,0.00460675,-0.00946405,0.0085944,-0.00371118,0.00011135,2.9,7.2,2.722861,2.728169,2.71915,2.719262
3,9,2.719262,0.06593015,-0.00102526,-0.00020428,0.00319298,-0.00646252,0.00605395,0.0021717,0.00010933,3.05,7.4,2.718236,2.719057,2.720408,2.720517
3,10,2.720517,0.0658521,0.00075198,-0.00034695,0.00416496,-0.00851027,0.00781637,-0.01049251,1.172e-5,2.75,6.9,2.721269,2.72017,2.710777,2.710789
3,11,2.710789,0.06649671,0.00186119,-0.0003702,0.00427517,-0.00874954,0.00800914,-0.00056926,4.14e-6,2.7,7.0,2.71265,2.710418,2.712081,2.712085
3,12,2.712085,0.06640745,-0.00306081,-0.00027739,0.00372248,-0.00757344,0.00701866,0.00893358,-7.858e-5,2.6,6.7,2.709024,2.711807,2.717957,2.717879
3,13,2.717879,0.06602765,-3.334e-5,-0.00039338,0.00441827,-0.00905319,0.00826642,-0.0021871,-4.14e-6,2.8,7.0,2.717846,2.717485,2.715658,2.715654
3,14,2.715654,0.06618452,-0.0036113,-0.00068445,0.00576535,-0.01198453,0.01061563,-0.00023963,-8.58e-6,2.85,7.0,2.712043,2.71497,2.711803,2.711795
3,15,2.711795,0.06642379,-0.00363281,-0.00018939,0.00307548,-0.00621733,0.00583856,0.0104588,0.00016509,3.0,7.55,2.708162,2.711605,2.718621,2.718786
3,16,2.718786,0.0659707,-0.00573418,-0.00048123,0.0048853,-0.01005641,0.00909395,-0.01168461,-4.403e-5,3.1,7.35,2.713052,2.718305,2.701367,2.701323
3,17,2.701323,0.06712547,-0.00205008,-0.00026273,0.00362502,-0.00736777,0.00684232,0.01249931,-4.314e-5,2.85,7.05,2.699273,2.70106,2.711772,2.711729
